item,pais,tecnologia,capacidad_mw,capacidad_predicha_mw
Northwest Kabul Power Plant Afghanistan - Gas,Afghanistan,Gas,42.0,149.58992371482586
Oued el Ma - Solar,Algeria,Solar,20.0,98.1945982855662
PARQUE EOLICO RAWSON II (ENARSA) - Wind,Argentina,Wind,28.8,101.70848816999543
PATAGONIA - Gas,Argentina,Gas,123.7,149.58992371482586
PERUGORRIA - Oil,Argentina,Oil,1.11,157.6820527867344
PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1 - Solar,Argentina,Solar,1.2,98.1945982855662
Pul-e-Khumri Hydroelectric Power Plant Afghanistan - Hydro,Afghanistan,Hydro,6.0,103.83718677609558
RIO CORRALITO - Hydro,Argentina,Hydro,13.2,103.83718677609558
RIO GRANDE - Hydro,Argentina,Hydro,750.0,103.83718677609558
Ras Djinet - Gas,Algeria,Gas,672.0,149.58992371482586
Reggane - Solar,Algeria,Solar,5.0,98.1945982855662
SALTO ANDERSEN - Hydro,Argentina,Hydro,7.9,103.83718677609558
SAN NICOLAS - Coal,Argentina,Coal,644.0,166.01481334010214
SAN PEDRO - Oil,Argentina,Oil,2.216,157.6820527867344
SKB IPP - Gas,Algeria,Gas,484.0,149.58992371482586
Shamb - Hydro,Armenia,Hydro,170.0,103.83718677609558
Skikda - Gas,Algeria,Gas,262.0,149.58992371482586
Spandaryan - Hydro,Armenia,Hydro,76.0,103.83718677609558
TENARIS SIDERCA CETE II - Gas,Argentina,Gas,163.20000000000002,149.58992371482586
Tatev - Hydro,Armenia,Hydro,158.0,103.83718677609558
Timimoun - Solar,Algeria,Solar,9.0,98.1945982855662
Ulez - Hydro,Albania,Hydro,25.0,103.83718677609558
Xitoto - Oil,Angola,Oil,11.34,157.6820527867344
